seed,subject,channels,auroc
2,chbmit:chb09,cyton,0.4502205528758405
2,chbmit:chb10,all,0.659326999030986
2,chbmit:chb10,random_half,0.6202869038139067
2,chbmit:chb10,cyton,0.6516430596108805
2,chbmit:chb11,all,0.6301449412610303
2,chbmit:chb11,random_half,0.7031325427004871
2,chbmit:chb11,cyton,0.6824619617213262
2,chbmit:chb13,all,0.5264056580336625
2,chbmit:chb13,random_half,0.5405532782642899
2,chbmit:chb13,cyton,0.761731724737594
2,chbmit:chb14,all,0.5305580576188379
2,chbmit:chb14,random_half,0.5545186710953187
2,chbmit:chb14,cyton,0.5925553222749496
2,chbmit:chb15,all,0.5398390375812012
2,chbmit:chb15,random_half,0.5339981375786845
2,chbmit:chb15,cyton,0.5098204972608984
2,chbmit:chb16,all,0.4972001527633378
2,chbmit:chb16,random_half,0.5335863761000447
2,chbmit:chb16,cyton,0.6415136463511986
2,chbmit:chb17,all,0.7041147519365666
2,chbmit:chb17,random_half,0.7633177500521097
2,chbmit:chb17,cyton,0.7546531580502849
2,chbmit:chb18,all,0.5196405938287878
2,chbmit:chb18,random_half,0.5607465024891666
2,chbmit:chb18,cyton,0.5694007967160178
2,chbmit:chb19,all,0.5529512682716025
2,chbmit:chb19,random_half,0.4583214474579377
2,chbmit:chb19,cyton,0.4791120259086833
2,chbmit:chb20,all,0.5626491251215981
2,chbmit:chb20,random_half,0.451169623708712
2,chbmit:chb20,cyton,0.32901779780220647
2,chbmit:chb22,all,0.6824117474849751
2,chbmit:chb22,random_half,0.6748557117679002
2,chbmit:chb22,cyton,0.7262670577988719
2,chbmit:chb23,all,0.8117531090617076
2,chbmit:chb23,random_half,0.7889398172741712
2,chbmit:chb23,cyton,0.596999377433839
2,siena:PN01,all,0.9753942958156049
2,siena:PN01,random_half,0.9814196945116165
2,siena:PN01,cyton,0.6993403532400748
2,siena:PN03,all,0.641539697640219
2,siena:PN03,random_half,0.8056771529219271
2,siena:PN03,cyton,0.6972773984756245
2,siena:PN07,all,0.4268190729308513
2,siena:PN07,random_half,0.44307764760858215
2,siena:PN07,cyton,0.3085606223783117
2,siena:PN14,all,0.7392574776868363
2,siena:PN14,random_half,0.7469034545807409
2,siena:PN14,cyton,0.6799154027987218
