seed,fold,test,inner,n_train_subjects,n_train_windows,threshold,inner_far_per_24h,threshold_fixed_before_test_scored
2,12,chbmit:chb14,chbmit:chb01;chbmit:chb13;chbmit:chb15;chbmit:chb17;chbmit:chb20,31,647574,0.8788788788788788,9.913084479371316,True
2,13,chbmit:chb15,chbmit:chb03;chbmit:chb04;chbmit:chb18;chbmit:chb19;chbmit:chb20,31,571042,0.970970970970971,9.419175095390951,True
2,14,chbmit:chb16,chbmit:chb01;chbmit:chb03;chbmit:chb19;chbmit:chb20;siena:PN14,31,656517,0.914914914914915,9.776092049275688,True
2,15,chbmit:chb17,chbmit:chb06;chbmit:chb07;chbmit:chb19;chbmit:chb22;siena:PN03,31,633411,0.9009009009009009,9.900005995643166,True
2,16,chbmit:chb18,chbmit:chb01;chbmit:chb07;chbmit:chb14;chbmit:chb16;chbmit:chb19,31,625878,0.8838838838838838,9.438640402126792,True
2,17,chbmit:chb19,chbmit:chb01;chbmit:chb13;chbmit:chb15;chbmit:chb16;siena:PN07,31,659641,0.8798798798798799,9.771424027425581,True
2,18,chbmit:chb20,chbmit:chb01;chbmit:chb02;chbmit:chb08;chbmit:chb13;siena:PN07,31,663990,0.8918918918918919,9.925856538145442,True
2,19,chbmit:chb22,chbmit:chb05;chbmit:chb10;chbmit:chb13;chbmit:chb15;chbmit:chb20,31,647698,0.8518518518518519,9.875239459746615,True
2,20,chbmit:chb23,chbmit:chb07;chbmit:chb08;siena:PN01;siena:PN03;siena:PN07,31,690584,0.994994994994995,9.885148514851485,True
2,21,siena:PN01,chbmit:chb04;chbmit:chb13;chbmit:chb15;chbmit:chb19;siena:PN03,31,592680,0.965965965965966,9.941390097443456,True
2,22,siena:PN03,chbmit:chb04;chbmit:chb09;chbmit:chb11;chbmit:chb13;chbmit:chb22,31,556579,0.9429429429429429,9.582921105052774,True
2,23,siena:PN07,chbmit:chb02;chbmit:chb10;chbmit:chb14;chbmit:chb16;chbmit:chb17,31,690989,0.8798798798798799,9.83170629454393,True
2,24,siena:PN14,chbmit:chb05;chbmit:chb09;chbmit:chb10;chbmit:chb11;chbmit:chb14,31,634844,0.8698698698698699,9.94609821501124,True
3,0,chbmit:chb01,chbmit:chb03;chbmit:chb05;chbmit:chb06;chbmit:chb07;chbmit:chb19,31,580513,0.8528528528528528,9.965459063161447,True
3,1,chbmit:chb02,chbmit:chb07;chbmit:chb11;chbmit:chb15;chbmit:chb22;chbmit:chb23,31,637452,0.8688688688688688,9.98185574950566,True
3,2,chbmit:chb03,chbmit:chb01;chbmit:chb07;chbmit:chb15;chbmit:chb19;chbmit:chb20,31,608027,0.8808808808808809,9.868832293614831,True
3,3,chbmit:chb04,chbmit:chb03;chbmit:chb08;chbmit:chb09;chbmit:chb18;siena:PN03,31,560265,0.9669669669669669,9.522409992652463,True
3,4,chbmit:chb05,chbmit:chb01;chbmit:chb07;chbmit:chb13;chbmit:chb15;chbmit:chb22,31,602672,0.9029029029029029,9.592796617924268,True
3,5,chbmit:chb06,chbmit:chb01;chbmit:chb02;chbmit:chb03;chbmit:chb23;siena:PN01,31,623988,0.8958958958958959,9.725270749415087,True
3,6,chbmit:chb07,chbmit:chb05;chbmit:chb10;chbmit:chb11;chbmit:chb23;siena:PN03,31,632226,0.8578578578578578,9.821680042077404,True
3,7,chbmit:chb08,chbmit:chb06;chbmit:chb13;chbmit:chb16;chbmit:chb17;siena:PN03,31,673674,0.93993993993994,9.883303659560337,True
3,8,chbmit:chb09,chbmit:chb03;chbmit:chb08;chbmit:chb11;chbmit:chb18;siena:PN03,31,647540,0.9479479479479479,9.967249015026349,True
3,9,chbmit:chb10,chbmit:chb06;chbmit:chb08;chbmit:chb09;chbmit:chb11;siena:PN01,31,624066,0.9039039039039038,9.943911073556622,True
3,10,chbmit:chb11,chbmit:chb02;chbmit:chb04;chbmit:chb08;chbmit:chb10;chbmit:chb19,31,571740,0.9379379379379379,9.936597480753692,True
3,11,chbmit:chb13,chbmit:chb03;chbmit:chb09;chbmit:chb10;chbmit:chb17;chbmit:chb18,31,629648,0.8658658658658659,9.857044472734103,True
3,12,chbmit:chb14,chbmit:chb05;chbmit:chb07;chbmit:chb09;chbmit:chb17;chbmit:chb20,31,627396,0.8738738738738738,9.999276672694394,True
3,13,chbmit:chb15,chbmit:chb05;chbmit:chb07;chbmit:chb10;chbmit:chb22;chbmit:chb23,31,623761,0.8118118118118118,9.989676673411239,True
3,14,chbmit:chb16,chbmit:chb02;chbmit:chb04;chbmit:chb07;chbmit:chb14;chbmit:chb23,31,568775,0.9269269269269269,9.84957597664396,True
3,15,chbmit:chb17,chbmit:chb04;chbmit:chb05;chbmit:chb08;chbmit:chb15;siena:PN14,31,592889,0.9359359359359359,9.87486581321199,True
3,16,chbmit:chb18,chbmit:chb13;chbmit:chb14;chbmit:chb16;chbmit:chb23;siena:PN01,31,695541,0.9229229229229229,9.994479059862764,True
3,17,chbmit:chb19,chbmit:chb05;chbmit:chb06;chbmit:chb09;chbmit:chb11;chbmit:chb20,31,614956,0.9069069069069069,9.943644176460655,True
