seed,subject,dataset,seizures,folds_scored,auroc,clock_only_auroc
4,chbmit:chb06,chbmit,10,10,0.6123861383485406,0.43825158727145175
0,chbmit:chb07,chbmit,3,2,0.6922021888671945,0.8698377106157572
1,chbmit:chb07,chbmit,3,2,0.5724137142043605,0.8698377106157572
2,chbmit:chb07,chbmit,3,2,0.5701120252106158,0.8698377106157572
3,chbmit:chb07,chbmit,3,2,0.5783820551759048,0.8698377106157572
4,chbmit:chb07,chbmit,3,2,0.5714125266659436,0.8698377106157572
0,chbmit:chb09,chbmit,4,4,0.555685811170131,0.3641118573780411
1,chbmit:chb09,chbmit,4,4,0.48291364495582845,0.3641118573780411
2,chbmit:chb09,chbmit,4,4,0.45782913638971645,0.3641118573780411
3,chbmit:chb09,chbmit,4,4,0.5204672861328477,0.3641118573780411
4,chbmit:chb09,chbmit,4,4,0.4796565464636737,0.3641118573780411
0,chbmit:chb10,chbmit,6,6,0.7003007381135888,0.5468468270390068
1,chbmit:chb10,chbmit,6,6,0.6834371372194097,0.5468468270390068
2,chbmit:chb10,chbmit,6,6,0.6962236306148708,0.5468468270390068
3,chbmit:chb10,chbmit,6,6,0.6511059444581251,0.5468468270390068
4,chbmit:chb10,chbmit,6,6,0.6437207043846548,0.5468468270390068
0,chbmit:chb13,chbmit,5,5,0.7385058381466989,0.47095511665942075
1,chbmit:chb13,chbmit,5,5,0.7653031385214168,0.47095511665942075
2,chbmit:chb13,chbmit,5,5,0.7457813179305632,0.47095511665942075
3,chbmit:chb13,chbmit,5,5,0.7501796989834999,0.47095511665942075
4,chbmit:chb13,chbmit,5,5,0.7247807589590709,0.47095511665942075
0,chbmit:chb14,chbmit,6,6,0.5963387731132695,0.5533386538973131
1,chbmit:chb14,chbmit,6,6,0.5963387731132695,0.5533386538973131
2,chbmit:chb14,chbmit,6,6,0.5963387731132695,0.5533386538973131
3,chbmit:chb14,chbmit,6,6,0.5963387731132695,0.5533386538973131
4,chbmit:chb14,chbmit,6,6,0.5963387731132695,0.5533386538973131
0,chbmit:chb15,chbmit,9,9,0.598434559380759,0.34765281782107893
1,chbmit:chb15,chbmit,9,9,0.598434559380759,0.34765281782107893
2,chbmit:chb15,chbmit,9,9,0.598434559380759,0.34765281782107893
3,chbmit:chb15,chbmit,9,9,0.598434559380759,0.34765281782107893
4,chbmit:chb15,chbmit,9,9,0.598434559380759,0.34765281782107893
0,chbmit:chb16,chbmit,5,5,0.7456969031935603,1.0
1,chbmit:chb16,chbmit,5,5,0.7456969031935603,1.0
2,chbmit:chb16,chbmit,5,5,0.7456969031935603,1.0
3,chbmit:chb16,chbmit,5,5,0.7456969031935603,1.0
4,chbmit:chb16,chbmit,5,5,0.7456969031935603,1.0
0,chbmit:chb17,chbmit,3,2,0.8434251724403412,0.14824789862179838
1,chbmit:chb17,chbmit,3,2,0.8434251724403412,0.14824789862179838
2,chbmit:chb17,chbmit,3,2,0.8434251724403412,0.14824789862179838
3,chbmit:chb17,chbmit,3,2,0.8434251724403412,0.14824789862179838
4,chbmit:chb17,chbmit,3,2,0.8434251724403412,0.14824789862179838
0,chbmit:chb18,chbmit,4,3,0.4684006749978737,0.726761264058118
1,chbmit:chb18,chbmit,4,3,0.44138815605669035,0.726761264058118
2,chbmit:chb18,chbmit,4,3,0.49062963462757686,0.726761264058118
3,chbmit:chb18,chbmit,4,3,0.5068016387417823,0.726761264058118
4,chbmit:chb18,chbmit,4,3,0.49946997751643973,0.726761264058118
0,chbmit:chb19,chbmit,2,2,0.7346268917299559,0.8609812141845569
1,chbmit:chb19,chbmit,2,2,0.7346268917299559,0.8609812141845569
2,chbmit:chb19,chbmit,2,2,0.7346268917299559,0.8609812141845569
3,chbmit:chb19,chbmit,2,2,0.7346268917299559,0.8609812141845569
4,chbmit:chb19,chbmit,2,2,0.7346268917299559,0.8609812141845569
0,chbmit:chb20,chbmit,5,2,0.9022094403571901,0.813462205093697
1,chbmit:chb20,chbmit,5,2,0.9069419826706613,0.813462205093697
