seed,subject,dataset,setup,alarm_smoothing,alarm_persistence,auroc,auroc_without_clock,clock_only_auroc,d1_auroc,macro_f1,threshold,events,predicted,false_alarms,far_per_24h,sensitivity,time_in_warning,median_warning_s
0,chbmit:chb16,chbmit,norm=off ctx=10min clock=on tusz=on,1,3,0.5287083586299355,0.5254263468757538,0.5654696530773622,0.42831334791292036,0.3219967308838682,0.995995995995996,5,0,0,0.0,0.0,0.0,nan
0,chbmit:chb17,chbmit,norm=on ctx=10min clock=on tusz=on,1,1,0.6101377215269874,0.36999556991602284,0.7111137579529325,0.6505755564292836,0.5183557680172891,0.988988988988989,3,1,5,6.223887047975796,0.3333333333333333,0.10832944936413876,6.0
0,chbmit:chb18,chbmit,norm=off ctx=10min clock=on tusz=on,36,3,0.7573226405217859,0.3901579612744569,0.9269802948400271,0.6539186529933276,0.6168829046046779,0.95995995995996,4,1,2,1.4413813237686117,0.25,0.027555346208195948,1281.0
0,chbmit:chb19,chbmit,norm=off ctx=5min clock=off tusz=off,1,1,0.5385577076384875,0.5385577076384875,0.8403400478609393,0.5179392669643366,0.5355358860419465,0.948948948948949,2,0,0,0.0,0.0,0.0,nan
0,chbmit:chb20,chbmit,norm=on ctx=10min clock=on tusz=off,1,1,0.4024587789727627,0.38973937326447783,0.5493426839083083,0.827292071304954,0.4277286918360444,0.9099099099099099,5,0,3,2.8980322003577816,0.0,0.05272496831432193,nan
0,chbmit:chb22,chbmit,norm=on ctx=10min clock=on tusz=on,1,3,0.5156726912170178,0.6391944704392382,0.34444056996420713,0.649141418224185,0.4168552917274934,0.994994994994995,2,0,2,1.6144251880226095,0.0,0.03730770965850137,1008.0
0,chbmit:chb23,chbmit,norm=off ctx=10min clock=on tusz=on,36,1,0.8025049086947306,0.5516908391429162,0.9259446964812597,0.7274033758694418,0.44884791756822123,0.9669669669669669,5,1,4,4.013937282229965,0.2,0.0927916120576671,1724.0
0,siena:PN01,siena,norm=on ctx=10min clock=on tusz=off,1,1,0.8564598702133521,0.821924071749977,0.802197802197802,0.9432996495148306,0.611077073778699,0.8968968968968969,2,0,3,5.784423119839321,0.0,0.0795384298372141,nan
0,siena:PN03,siena,norm=off ctx=2min clock=off tusz=off,1,6,0.6130350163059112,0.6130350163059112,1.0,0.6566349617660939,0.1442420919745324,0.938938938938939,2,2,42,43.544729105417886,1.0,0.8911833878276831,1124.5
0,siena:PN07,siena,norm=on ctx=10min clock=on tusz=off,1,6,0.8223348678614324,0.3178900907939266,1.0,0.41914156478057224,0.39263513113492393,0.8298298298298298,1,0,2,5.845737483085251,0.0,0.11457670273711013,nan
0,siena:PN14,siena,norm=on ctx=5min clock=on tusz=off,1,1,0.8400601715313234,0.729638992543083,0.7910053958130336,0.7602046794916479,0.6076489589907442,0.9459459459459459,4,1,6,7.829632985953784,0.25,0.1328756881669272,1432.0
